gene_id	external_gene_name	description
Potri.001G005100	myb_domain_protein_5	myb_domain_protein_5
Potri.001G005200	NA	NA
Potri.001G005300	alpha/beta-Hydrolases_superfamily_protein	alpha/beta-Hydrolases_superfamily_protein
Potri.001G005400	Putative_lysine_decarboxylase_family_protein	Putative_lysine_decarboxylase_family_protein
Potri.001G005500	calcium_ion_binding	calcium_ion_binding
Potri.001G005600	calmodulin-binding_family_protein	calmodulin-binding_family_protein
Potri.001G005700	ACD1-like	ACD1-like
Potri.001G005800	NA	NA
Potri.001G005900	ACD1-like	ACD1-like
Potri.001G006000	HVA22-like_protein_F	HVA22-like_protein_F
Potri.001G006100	curculin-like_(mannose-binding)_lectin_family_protein_/_PAN_domain-containing_protein	curculin-like_(mannose-binding)_lectin_family_protein_/_PAN_domain-containing_protein
Potri.001G006200	calmodulin-binding_family_protein	calmodulin-binding_family_protein
Potri.001G006300	TBP-associated_factor_7	TBP-associated_factor_7
Potri.001G006400	SC35-like_splicing_factor_30A	SC35-like_splicing_factor_30A
Potri.001G006400	SC35-like_splicing_factor_33	SC35-like_splicing_factor_33
Potri.001G006500	O-Glycosyl_hydrolases_family_17_protein	O-Glycosyl_hydrolases_family_17_protein
Potri.001G006600	acyl-activating_enzyme_18	acyl-activating_enzyme_18
Potri.001G006700	acyl-activating_enzyme_18	acyl-activating_enzyme_18
Potri.001G006800	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein
Potri.001G006900	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein
Potri.001G007000	Galactose_oxidase/kelch_repeat_superfamily_protein	Galactose_oxidase/kelch_repeat_superfamily_protein
Potri.001G007100	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein
Potri.001G007200	Amino_acid_permease_family_protein	Amino_acid_permease_family_protein
Potri.001G007300	Amino_acid_permease_family_protein	Amino_acid_permease_family_protein
Potri.001G007400	Pectin_lyase-like_superfamily_protein	Pectin_lyase-like_superfamily_protein
Potri.001G007500	NA	NA
Potri.001G007600	PHYTOENE_SYNTHASE	PHYTOENE_SYNTHASE
Potri.001G007700	PHYTOENE_SYNTHASE	PHYTOENE_SYNTHASE
Potri.001G007800	protein_phosphatase_2A-3	protein_phosphatase_2A-3
Potri.001G007900	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein
Potri.001G008000	Galactose_oxidase/kelch_repeat_superfamily_protein	Galactose_oxidase/kelch_repeat_superfamily_protein
Potri.001G008100	NA	NA
Potri.001G008200	Protein_of_unknown_function_(DUF761)	Protein_of_unknown_function_(DUF761)
Potri.001G008300	Protein_of_unknown_function,_DUF538	Protein_of_unknown_function,_DUF538
Potri.001G008400	Protein_of_unknown_function,_DUF538	Protein_of_unknown_function,_DUF538
Potri.001G008500	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein
Potri.001G008600	transferases,_transferring_hexosyl_groups	transferases,_transferring_hexosyl_groups
Potri.001G008700	RNA-binding_KH_domain-containing_protein	RNA-binding_KH_domain-containing_protein
Potri.001G008800	histone_mono-ubiquitination_2	histone_mono-ubiquitination_2
Potri.001G008900	Family_of_unknown_function_(DUF716)_	Family_of_unknown_function_(DUF716)_
Potri.001G009000	Family_of_unknown_function_(DUF716)_	Family_of_unknown_function_(DUF716)_
Potri.001G009100	Disease_resistance-responsive_(dirigent-like_protein)_family_protein	Disease_resistance-responsive_(dirigent-like_protein)_family_protein
Potri.001G009200	NA	NA
Potri.001G009300	NA	NA
Potri.001G009400	F-box_family_protein	F-box_family_protein
Potri.001G009500	NA	NA
Potri.001G009600	chromomethylase_3	chromomethylase_3
Potri.001G009700	Protein_kinase_family_protein	Protein_kinase_family_protein
Potri.001G009800	DnaJ/Hsp40_cysteine-rich_domain_superfamily_protein	DnaJ/Hsp40_cysteine-rich_domain_superfamily_protein
Potri.001G009900	Cation_efflux_family_protein	Cation_efflux_family_protein
Potri.001G010000	Cation_efflux_family_protein	Cation_efflux_family_protein
Potri.001G010100	Cation_efflux_family_protein	Cation_efflux_family_protein
Potri.001G010200	Cation_efflux_family_protein	Cation_efflux_family_protein
Potri.001G010300	Cation_efflux_family_protein	Cation_efflux_family_protein
Potri.001G010400	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein
Potri.001G010500	seven_in_absentia_of_Arabidopsis_2	seven_in_absentia_of_Arabidopsis_2
Potri.001G010600	NA	NA
Potri.001G010700	geminivirus_rep_interacting_kinase_1	geminivirus_rep_interacting_kinase_1
Potri.001G010800	10-formyltetrahydrofolate_synthetase	10-formyltetrahydrofolate_synthetase
Potri.001G010900	Plant_protein_of_unknown_function_(DUF828)	Plant_protein_of_unknown_function_(DUF828)
Potri.001G011000	Peroxidase_superfamily_protein	Peroxidase_superfamily_protein
Potri.001G011000	peroxidase_CB	peroxidase_CB
Potri.001G011100	NA	NA
Potri.001G011200	peroxidase_CB	peroxidase_CB
Potri.001G011300	peroxidase_CB	peroxidase_CB
Potri.001G011400	Peroxidase_superfamily_protein	Peroxidase_superfamily_protein
Potri.001G011500	peroxidase_2	peroxidase_2
Potri.001G011600	Peroxidase_superfamily_protein	Peroxidase_superfamily_protein
Potri.001G011700	Plastid-lipid_associated_protein_PAP_/_fibrillin_family_protein	Plastid-lipid_associated_protein_PAP_/_fibrillin_family_protein
Potri.001G011800	PRLI-interacting_factor,_putative	PRLI-interacting_factor,_putative
Potri.001G011900	glucan_synthase-like_10	glucan_synthase-like_10
Potri.001G012000	glucan_synthase-like_10	glucan_synthase-like_10
Potri.001G012100	NA	NA
Potri.001G012200	glucan_synthase-like_12	glucan_synthase-like_12
Potri.001G012300	Plant_U-Box_15	Plant_U-Box_15
Potri.001G012400	NA	NA
Potri.001G012500	fatty_acid_desaturase_2	fatty_acid_desaturase_2
Potri.001G012600	NA	NA
Potri.001G012700	fatty_acid_desaturase_2	fatty_acid_desaturase_2
Potri.001G012800	Noc2p_family	Noc2p_family
Potri.001G012900	NA	NA
Potri.001G013000	peroxidase_CA	peroxidase_CA
Potri.001G013100	Peroxidase_superfamily_protein	Peroxidase_superfamily_protein
Potri.001G013200	KH_domain-containing_protein_/_zinc_finger_(CCCH_type)_family_protein	KH_domain-containing_protein_/_zinc_finger_(CCCH_type)_family_protein
Potri.001G013300	NA	NA
Potri.001G013400	Major_facilitator_superfamily_protein	Major_facilitator_superfamily_protein
Potri.001G013500	NAD(P)-binding_Rossmann-fold_superfamily_protein	NAD(P)-binding_Rossmann-fold_superfamily_protein
Potri.001G013600	DNA-binding_bromodomain-containing_protein	DNA-binding_bromodomain-containing_protein
Potri.001G013700	alpha/beta-Hydrolases_superfamily_protein	alpha/beta-Hydrolases_superfamily_protein
Potri.001G013800	Emsy_N_Terminus_(ENT)/_plant_Tudor-like_domains-containing_protein	Emsy_N_Terminus_(ENT)/_plant_Tudor-like_domains-containing_protein
Potri.001G013900	NA	NA
Potri.001G014000	lipoyltransferase_2	lipoyltransferase_2
Potri.001G014100	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014200	NA	NA
Potri.001G014300	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014400	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014500	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014600	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014700	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014800	receptor-like_protein_kinase_1	receptor-like_protein_kinase_1
Potri.001G014900	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.001G015000	NA	NA
Potri.001G015100	beta_glucosidase_13	beta_glucosidase_13
Potri.001G015200	NA	NA
Potri.001G015300	lipoxygenase_2	lipoxygenase_2
Potri.001G015400	lipoxygenase_2	lipoxygenase_2
Potri.001G015500	lipoxygenase_2	lipoxygenase_2
Potri.001G015600	lipoxygenase_2	lipoxygenase_2
Potri.001G015700	Calcium-dependent_lipid-binding_(CaLB_domain)_plant_phosphoribosyltransferase_family_protein	Calcium-dependent_lipid-binding_(CaLB_domain)_plant_phosphoribosyltransferase_family_protein
Potri.001G015800	Ankyrin_repeat_family_protein	Ankyrin_repeat_family_protein
Potri.001G015900	ETHYLENE-INSENSITIVE3-like_3	ETHYLENE-INSENSITIVE3-like_3
Potri.001G016000	ETHYLENE-INSENSITIVE3-like_3	ETHYLENE-INSENSITIVE3-like_3
Potri.001G016100	NA	NA
Potri.001G016200	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein	2-oxoglutarate_(2OG)_and_Fe(II)-dependent_oxygenase_superfamily_protein
Potri.001G016300	UDP-Glycosyltransferase_superfamily_protein	UDP-Glycosyltransferase_superfamily_protein
Potri.001G016400	UDP-Glycosyltransferase_superfamily_protein	UDP-Glycosyltransferase_superfamily_protein
Potri.001G016500	UDP-Glycosyltransferase_superfamily_protein	UDP-Glycosyltransferase_superfamily_protein
Potri.001G016600	NA	NA
Potri.001G016700	Histone_superfamily_protein	Histone_superfamily_protein
Potri.001G016800	Transducin/WD40_repeat-like_superfamily_protein	Transducin/WD40_repeat-like_superfamily_protein
Potri.001G016900	Histone_superfamily_protein	Histone_superfamily_protein
Potri.001G017000	NA	NA
Potri.001G017100	NA	NA
Potri.001G017200	NA	NA
Potri.001G017300	basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein	basic_helix-loop-helix_(bHLH)_DNA-binding_superfamily_protein
Potri.001G017400	FAR1-related_sequence_4	FAR1-related_sequence_4
Potri.001G017500	Leucine-rich_repeat_(LRR)_family_protein	Leucine-rich_repeat_(LRR)_family_protein
Potri.001G017600	NA	NA
Potri.001G017700	Plant_protein_of_unknown_function_(DUF247)	Plant_protein_of_unknown_function_(DUF247)
Potri.001G017800	NA	NA
Potri.001G017900	NA	NA
Potri.001G018000	MAPK/ERK_kinase_kinase_3	MAPK/ERK_kinase_kinase_3
Potri.001G018000	protein_kinase_family_protein	protein_kinase_family_protein
Potri.001G018100	LYR_family_of_Fe/S_cluster_biogenesis_protein	LYR_family_of_Fe/S_cluster_biogenesis_protein
Potri.001G018200	Putative_glycosyl_hydrolase_of_unknown_function_(DUF1680)	Putative_glycosyl_hydrolase_of_unknown_function_(DUF1680)
Potri.001G018300	AGC_(cAMP-dependent,_cGMP-dependent_and_protein_kinase_C)_kinase_family_protein	AGC_(cAMP-dependent,_cGMP-dependent_and_protein_kinase_C)_kinase_family_protein
Potri.001G018400	Integrase-type_DNA-binding_superfamily_protein	Integrase-type_DNA-binding_superfamily_protein
Potri.001G018500	MSF1-like_family_protein	MSF1-like_family_protein
Potri.001G018600	A20/AN1-like_zinc_finger_family_protein	A20/AN1-like_zinc_finger_family_protein
Potri.001G018700	NIMA-related_kinase_5	NIMA-related_kinase_5
Potri.001G018800	ZIP_metal_ion_transporter_family	ZIP_metal_ion_transporter_family
Potri.001G018900	WIP_domain_protein_5	WIP_domain_protein_5
Potri.001G019000	outer_envelope_protein_of_80_kDa	outer_envelope_protein_of_80_kDa
Potri.001G019100	heavy_metal_atpase_5	heavy_metal_atpase_5
Potri.001G019200	NA	NA
Potri.001G019300	NA	NA
Potri.001G019400	ADP/ATP_carrier_2	ADP/ATP_carrier_2
Potri.001G019500	SLOW_GROWTH_1	SLOW_GROWTH_1
Potri.001G019600	RING/U-box_superfamily_protein	RING/U-box_superfamily_protein
Potri.001G019700	NA	NA
Potri.001G019800	NA	NA
Potri.001G019900	NA	NA
Potri.001G020000	NA	NA
Potri.001G020100	NA	NA
Potri.001G020200	Basic-leucine_zipper_(bZIP)_transcription_factor_family_protein	Basic-leucine_zipper_(bZIP)_transcription_factor_family_protein
Potri.001G020300	RNA-binding_(RRM/RBD/RNP_motifs)_family_protein	RNA-binding_(RRM/RBD/RNP_motifs)_family_protein
Potri.001G020300	Zinc_finger_(CCCH-type)_family_protein_/_RNA_recognition_motif_(RRM)-containing_protein	Zinc_finger_(CCCH-type)_family_protein_/_RNA_recognition_motif_(RRM)-containing_protein
Potri.001G020400	Eukaryotic_aspartyl_protease_family_protein	Eukaryotic_aspartyl_protease_family_protein
Potri.001G020500	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.001G020600	autoinhibited_Ca(2+)-ATPase,_isoform_4	autoinhibited_Ca(2+)-ATPase,_isoform_4
Potri.001G020700	NA	NA
Potri.001G020800	6-phosphogluconate_dehydrogenase_family_protein	6-phosphogluconate_dehydrogenase_family_protein
Potri.001G020900	cytokinin_oxidase/dehydrogenase_6	cytokinin_oxidase/dehydrogenase_6
Potri.001G021000	IQ-domain_11	IQ-domain_11
Potri.001G021100	NA	NA
Potri.001G021200	NA	NA
Potri.001G021300	NA	NA
Potri.001G021400	NA	NA
Potri.001G021500	F-box_family_protein	F-box_family_protein
Potri.001G021600	F-box_family_protein	F-box_family_protein
Potri.001G021700	NA	NA
Potri.001G021800	NA	NA
Potri.001G021900	NA	NA
Potri.001G022000	NA	NA
Potri.001G022100	NA	NA
Potri.001G022200	NA	NA
Potri.001G022300	NA	NA
Potri.001G022400	F-box_family_protein	F-box_family_protein
Potri.001G022500	high_chlorophyll_fluorescence_153	high_chlorophyll_fluorescence_153
Potri.001G022600	NA	NA
Potri.001G022700	elongation_defective_1_protein_/_ELD1_protein	elongation_defective_1_protein_/_ELD1_protein
Potri.001G022800	LRR_and_NB-ARC_domains-containing_disease_resistance_protein	LRR_and_NB-ARC_domains-containing_disease_resistance_protein
Potri.001G022900	Transducin/WD40_repeat-like_superfamily_protein	Transducin/WD40_repeat-like_superfamily_protein
Potri.001G023000	NA	NA
Potri.001G023100	dehydration-induced_protein_(ERD15)	dehydration-induced_protein_(ERD15)
Potri.001G023200	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein
Potri.001G023300	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein	Bifunctional_inhibitor/lipid-transfer_protein/seed_storage_2S_albumin_superfamily_protein
Potri.001G023400	purple_acid_phosphatase_27	purple_acid_phosphatase_27
Potri.001G023500	scarecrow-like_3	scarecrow-like_3
Potri.001G023600	Disease_resistance-responsive_(dirigent-like_protein)_family_protein	Disease_resistance-responsive_(dirigent-like_protein)_family_protein
Potri.001G023700	Disease_resistance-responsive_(dirigent-like_protein)_family_protein	Disease_resistance-responsive_(dirigent-like_protein)_family_protein
Potri.001G023800	Disease_resistance-responsive_(dirigent-like_protein)_family_protein	Disease_resistance-responsive_(dirigent-like_protein)_family_protein
Potri.001G023900	TRICHOME_BIREFRINGENCE-LIKE_38	TRICHOME_BIREFRINGENCE-LIKE_38
Potri.001G024000	Essential_protein_Yae1,_N-terminal	Essential_protein_Yae1,_N-terminal
Potri.001G024100	Plant_calmodulin-binding_protein-related	Plant_calmodulin-binding_protein-related
Potri.001G024200	NA	NA
Potri.001G024300	NAD(P)-binding_Rossmann-fold_superfamily_protein	NAD(P)-binding_Rossmann-fold_superfamily_protein
Potri.001G024400	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein	P-loop_containing_nucleoside_triphosphate_hydrolases_superfamily_protein
Potri.001G024500	Ribosomal_RNA_processing_Brix_domain_protein	Ribosomal_RNA_processing_Brix_domain_protein
Potri.001G024600	ARM_repeat_superfamily_protein	ARM_repeat_superfamily_protein
Potri.001G024700	NA	NA
Potri.001G024800	annexin_3	annexin_3
Potri.001G024900	annexin_4	annexin_4
Potri.001G025000	annexin_8	annexin_8
Potri.001G025100	NA	NA
Potri.001G025200	cytochrome_P450,_family_76,_subfamily_C,_polypeptide_6	cytochrome_P450,_family_76,_subfamily_C,_polypeptide_6
Potri.001G025300	ubiquitin_6	ubiquitin_6
Potri.001G025400	NB-ARC_domain-containing_disease_resistance_protein	NB-ARC_domain-containing_disease_resistance_protein
Potri.001G025500	RNA_polymerase_II_fifth_largest_subunit,_E	RNA_polymerase_II_fifth_largest_subunit,_E
Potri.001G025600	SKP1/ASK-interacting_protein_5	SKP1/ASK-interacting_protein_5
Potri.001G025700	beta-galactosidase_7	beta-galactosidase_7
Potri.001G025800	beta-galactosidase_7	beta-galactosidase_7
Potri.001G025900	NA	NA
Potri.001G026000	sequence-specific_DNA_binding_transcription_factors	sequence-specific_DNA_binding_transcription_factors
Potri.001G026100	NagB/RpiA/CoA_transferase-like_superfamily_protein	NagB/RpiA/CoA_transferase-like_superfamily_protein
Potri.001G026200	Protein_with_RING/U-box_and_TRAF-like_domains	Protein_with_RING/U-box_and_TRAF-like_domains
Potri.001G026300	uridine_5\'-monophosphate_synthase_/_UMP_synthase_(PYRE-F)_(UMPS)	uridine_5\'-monophosphate_synthase_/_UMP_synthase_(PYRE-F)_(UMPS)
Potri.001G026400	Calcium-dependent_ARF-type_GTPase_activating_protein_family	Calcium-dependent_ARF-type_GTPase_activating_protein_family
Potri.001G026500	adenylate_cyclases	adenylate_cyclases
Potri.001G026600	Glutaredoxin_family_protein	Glutaredoxin_family_protein
Potri.001G026700	sensitivity_to_red_light_reduced_protein_(SRR1)	sensitivity_to_red_light_reduced_protein_(SRR1)
Potri.001G026800	Transducin/WD40_repeat-like_superfamily_protein	Transducin/WD40_repeat-like_superfamily_protein
Potri.001G026900	Regulator_of_chromosome_condensation_(RCC1)_family_with_FYVE_zinc_finger_domain	Regulator_of_chromosome_condensation_(RCC1)_family_with_FYVE_zinc_finger_domain
Potri.001G027000	response_regulator_9	response_regulator_9
Potri.001G027100	Major_facilitator_superfamily_protein	Major_facilitator_superfamily_protein
Potri.001G027200	nuclear_RNA_polymerase_D1B	nuclear_RNA_polymerase_D1B
Potri.001G027300	NA	NA
Potri.001G027400	glycoside_hydrolase_family_2_protein	glycoside_hydrolase_family_2_protein
Potri.001G027500	Leucine-rich_receptor-like_protein_kinase_family_protein	Leucine-rich_receptor-like_protein_kinase_family_protein
Potri.001G027600	NA	NA
Potri.001G027700	Lateral_root_primordium_(LRP)_protein-related	Lateral_root_primordium_(LRP)_protein-related
Potri.001G027800	NA	NA
Potri.001G027900	Phosphatidylinositol-4-phosphate_5-kinase_family_protein	Phosphatidylinositol-4-phosphate_5-kinase_family_protein
Potri.001G028000	NADPH:quinone_oxidoreductase	NADPH:quinone_oxidoreductase
Potri.001G028100	NA	NA
Potri.001G028200	Eukaryotic_aspartyl_protease_family_protein	Eukaryotic_aspartyl_protease_family_protein
Potri.001G028300	ARM_repeat_superfamily_protein	ARM_repeat_superfamily_protein
Potri.001G028400	sequence-specific_DNA_binding_transcription_factors	sequence-specific_DNA_binding_transcription_factors
Potri.001G028500	Thioredoxin_z	Thioredoxin_z
Potri.001G028600	Chalcone_and_stilbene_synthase_family_protein	Chalcone_and_stilbene_synthase_family_protein
Potri.001G028700	Disease_resistance_protein_(TIR-NBS-LRR_class)_family	Disease_resistance_protein_(TIR-NBS-LRR_class)_family
Potri.001G028800	NA	NA
Potri.001G028900	NA	NA
Potri.001G029000	NA	NA
Potri.001G029100	NA	NA
Potri.001G029200	NA	NA
Potri.001G029300	LRR_and_NB-ARC_domains-containing_disease_resistance_protein	LRR_and_NB-ARC_domains-containing_disease_resistance_protein
Potri.001G029400	Mitochondrial_transcription_termination_factor_family_protein	Mitochondrial_transcription_termination_factor_family_protein
Potri.001G029500	nudix_hydrolase_homolog_16	nudix_hydrolase_homolog_16
Potri.001G029600	protein_kinases;ubiquitin-protein_ligases	protein_kinases;ubiquitin-protein_ligases
Potri.001G029700	sigma_factor_binding_protein_1	sigma_factor_binding_protein_1
Potri.001G029800	TGACG_motif-binding_factor_6	TGACG_motif-binding_factor_6
Potri.001G029900	LYR_family_of_Fe/S_cluster_biogenesis_protein	LYR_family_of_Fe/S_cluster_biogenesis_protein
Potri.001G030000	Cyclophilin-like_peptidyl-prolyl_cis-trans_isomerase_family_protein	Cyclophilin-like_peptidyl-prolyl_cis-trans_isomerase_family_protein
Potri.001G030100	Protein_of_unknown_function_(DUF810)	Protein_of_unknown_function_(DUF810)
Potri.001G030200	protein_arginine_methyltransferase_3	protein_arginine_methyltransferase_3
Potri.001G030300	Mitochondrial_transcription_termination_factor_family_protein	Mitochondrial_transcription_termination_factor_family_protein
Potri.001G030400	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.001G030500	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein	Tetratricopeptide_repeat_(TPR)-like_superfamily_protein
Potri.001G030600	UDP-Glycosyltransferase_superfamily_protein	UDP-Glycosyltransferase_superfamily_protein
Potri.001G030700	nuclear_RNA_polymerase_A2	nuclear_RNA_polymerase_A2
Potri.001G030800	nuclear_RNA_polymerase_A2	nuclear_RNA_polymerase_A2
Potri.001G030900	Polynucleotidyl_transferase,_ribonuclease_H-like_superfamily_protein	Polynucleotidyl_transferase,_ribonuclease_H-like_superfamily_protein
Potri.001G031000	NA	NA
Potri.001G031100	NA	NA
Potri.001G031200	NA	NA
Potri.001G031300	NA	NA
Potri.001G031400	retinoblastoma-related_1	retinoblastoma-related_1
Potri.001G031500	mannosyltransferase_family_protein	mannosyltransferase_family_protein
Potri.001G031600	Auxin-responsive_family_protein	Auxin-responsive_family_protein
Potri.001G031700	nuclear_matrix_protein-related	nuclear_matrix_protein-related
Potri.001G031800	NA	NA
Potri.001G031900	Protein_of_unknown_function,_DUF617	Protein_of_unknown_function,_DUF617
Potri.001G032000	Protein_kinase_superfamily_protein	Protein_kinase_superfamily_protein
Potri.001G032100	nodulin_MtN21_/EamA-like_transporter_family_protein	nodulin_MtN21_/EamA-like_transporter_family_protein
Potri.001G032200	proline-rich_family_protein	proline-rich_family_protein
Potri.001G032300	RING/U-box_superfamily_protein	RING/U-box_superfamily_protein
Potri.001G032400	carboxyesterase_17	carboxyesterase_17
Potri.001G032500	nodulin_MtN21_/EamA-like_transporter_family_protein	nodulin_MtN21_/EamA-like_transporter_family_protein
Potri.001G032600	microtubule-associated_protein_65-2	microtubule-associated_protein_65-2
Potri.001G032700	microtubule-associated_proteins_65-1	microtubule-associated_proteins_65-1
Potri.001G032800	Cytochrome_P450_superfamily_protein	Cytochrome_P450_superfamily_protein
Potri.001G032900	cystatin_B	cystatin_B
Potri.001G033000	LRR_and_NB-ARC_domains-containing_disease_resistance_protein	LRR_and_NB-ARC_domains-containing_disease_resistance_protein
Potri.001G033100	NB-ARC_domain-containing_disease_resistance_protein	NB-ARC_domain-containing_disease_resistance_protein
Potri.001G033200	nuclear_factor_Y,_subunit_C11	nuclear_factor_Y,_subunit_C11
Potri.001G033300	NA	NA
Potri.001G033400	NA	NA
Potri.001G033500	NA	NA
Potri.001G033600	Ubiquitin-associated/translation_elongation_factor_EF1B_protein	Ubiquitin-associated/translation_elongation_factor_EF1B_protein
Potri.001G033700	NA	NA
Potri.001G033800	fucosyltransferase_1	fucosyltransferase_1
Potri.001G033900	ribonuclease_P_family_protein	ribonuclease_P_family_protein
Potri.001G034000	fucosyltransferase_9	fucosyltransferase_9
